ticker,name,composite_score,grade,sd_score,inst_score,tech_score,fund_score,analyst_score,rs_score,current_price,target_upside,rank
CVS,CVS Health Corporation,63.2,B (Accumulate),80,70,45,45,85,50,75.7,25.2,280
PHM,"PulteGroup, Inc.",63.2,B (Accumulate),50,65,73,60,75,66,137.33,2.6,281
HWM,Howmet Aerospace Inc.,63.2,B (Accumulate),50,65,83,60,55,66,224.47,9.9,282
MGM,MGM Resorts International,63.2,B (Accumulate),75,50,58,50,80,73,37.36,13.5,283
KMB,Kimberly-Clark Corporation,63.1,B (Accumulate),80,55,53,60,60,65,105.88,12.1,284
IRM,Iron Mountain Incorporated,63.1,B (Accumulate),50,65,73,50,80,75,99.31,16.8,285
DD,"DuPont de Nemours, Inc.",63.1,B (Accumulate),70,65,68,30,55,90,49.43,5.2,286
CPB,The Campbell's Company,63.1,B (Accumulate),85,50,53,55,55,75,29.15,8.3,287
AVB,"AvalonBay Communities, Inc.",63.0,B (Accumulate),65,65,55,65,80,50,177.43,12.4,288
MMM,3M Company,62.9,B (Accumulate),65,65,53,65,75,58,173.43,2.3,289
BLK,"BlackRock, Inc.",62.8,B (Accumulate),60,70,45,70,85,58,1087.78,22.1,290
EFX,Equifax Inc.,62.8,B (Accumulate),75,70,45,60,80,40,202.71,19.1,291
AIG,"American International Group, Inc.",62.7,B (Accumulate),60,70,58,55,80,58,75.0,15.8,292
AMD,"Advanced Micro Devices, Inc.",62.5,B (Accumulate),70,65,45,55,90,58,213.57,35.1,293
CTAS,Cintas Corporation,62.5,B (Accumulate),50,65,83,55,55,66,199.31,8.8,294
STZ,"Constellation Brands, Inc.",62.4,B (Accumulate),50,60,83,45,55,90,165.63,3.1,295
AFL,Aflac Incorporated,62.4,B (Accumulate),60,65,73,55,50,65,115.88,-3.6,296
GOOGL,Alphabet Inc.,62.3,B (Accumulate),60,70,55,70,60,58,318.58,16.7,297
VLTO,Veralto Corporation,62.2,B (Accumulate),60,70,50,75,80,40,92.81,19.2,298
GRMN,Garmin Ltd.,62.2,B (Accumulate),50,55,90,65,60,50,208.41,12.9,299
BBY,"Best Buy Co., Inc.",62.2,B (Accumulate),50,55,68,75,80,58,68.04,18.4,300
HPE,Hewlett Packard Enterprise Company,62.1,B (Accumulate),60,65,53,60,80,65,23.97,10.3,301
PCAR,PACCAR Inc,62.0,B (Accumulate),65,60,60,45,70,80,127.07,-3.9,302
AAPL,Apple Inc.,61.9,B (Accumulate),55,65,53,70,75,65,273.68,7.1,303
ADM,Archer-Daniels-Midland Company,61.8,B (Accumulate),65,65,70,40,35,90,68.62,-12.4,304
ROP,"Roper Technologies, Inc.",61.8,B (Accumulate),70,70,50,65,90,15,348.84,32.5,305
INTC,Intel Corporation,61.5,B (Accumulate),80,65,45,40,55,80,47.13,0.1,306
STE,STERIS plc,61.5,B (Accumulate),70,70,45,60,80,40,244.67,15.0,307
AVGO,Broadcom Inc.,61.4,B (Accumulate),55,65,68,60,70,50,340.44,34.7,308
SWKS,"Skyworks Solutions, Inc.",61.4,B (Accumulate),75,55,58,50,60,65,62.31,14.7,309
NTAP,"NetApp, Inc.",61.4,B (Accumulate),50,65,58,75,80,50,105.64,16.3,310
WY,Weyerhaeuser Company,61.0,B (Accumulate),50,70,70,30,80,80,26.94,14.7,311
KLAC,KLA Corporation,61.0,B (Accumulate),50,70,55,55,80,73,1430.84,16.4,312
MS,Morgan Stanley,61.0,B (Accumulate),50,65,55,75,75,58,177.89,9.9,313
BRK-B,Berkshire Hathaway Inc.,60.9,B (Accumulate),50,65,58,70,75,58,500.3,5.1,314
LLY,Eli Lilly and Company,60.8,B (Accumulate),60,70,45,65,80,50,1025.0,17.2,315
ORLY,"O'Reilly Automotive, Inc.",60.5,B (Accumulate),65,70,45,55,80,50,93.44,13.1,316
PNR,Pentair plc,60.5,B (Accumulate),70,70,35,60,80,50,98.62,15.3,317
KMX,"CarMax, Inc.",60.3,B (Accumulate),80,55,55,50,35,73,45.83,-14.2,318
APH,Amphenol Corporation,60.2,B (Accumulate),50,70,55,65,80,50,144.14,16.7,319
COO,"The Cooper Companies, Inc.",60.0,B (Accumulate),50,65,70,45,80,58,81.57,11.6,320
GOOG,Alphabet Inc.,60.0,B (Accumulate),55,65,55,70,60,58,318.63,12.2,321
LYB,LyondellBasell Industries N.V.,59.9,C (Hold),65,60,73,30,35,90,57.66,-11.4,322
SRE,Sempra,59.9,C (Hold),50,70,53,60,80,58,89.7,10.9,323
WYNN,"Wynn Resorts, Limited",59.9,C (Hold),55,60,68,55,65,58,116.86,23.6,324
OXY,Occidental Petroleum Corporation,59.7,C (Hold),65,50,73,40,55,73,46.27,6.0,325
TMUS,"T-Mobile US, Inc.",59.7,C (Hold),55,50,53,70,90,58,199.43,33.8,326
WELL,Welltower Inc.,59.4,C (Hold),50,70,53,55,75,65,200.84,7.3,327
TAP,Molson Coors Beverage Company,59.4,C (Hold),60,55,83,30,50,73,52.03,-2.1,328
CPRT,"Copart, Inc.",59.3,C (Hold),50,65,55,70,65,58,40.35,21.2,329
EPAM,"EPAM Systems, Inc.",59.2,C (Hold),70,65,35,65,80,40,191.61,18.9,330
KHC,The Kraft Heinz Company,59.1,C (Hold),80,60,53,30,55,65,24.9,6.4,331
MSCI,MSCI Inc.,59.0,C (Hold),60,70,45,60,90,30,515.66,31.5,332
LVS,Las Vegas Sands Corp.,58.9,C (Hold),50,50,58,85,85,35,57.02,22.5,333
FTNT,"Fortinet, Inc.",58.9,C (Hold),55,60,53,70,55,65,85.53,4.9,334
DOW,Dow Inc.,58.9,C (Hold),65,60,68,30,35,90,33.6,-13.1,335
DXCM,"DexCom, Inc.",58.8,C (Hold),50,65,45,75,65,65,68.16,25.0,336
PPL,PPL Corporation,58.8,C (Hold),55,65,45,65,75,58,36.07,10.0,337
RVTY,"Revvity, Inc.",58.4,C (Hold),60,65,45,45,80,66,104.75,14.1,338
ALB,Albemarle Corporation,58.2,C (Hold),65,55,55,40,75,65,168.56,5.5,339
IBM,International Business Machines Corporation,58.2,C (Hold),55,65,45,70,80,40,291.76,11.4,340
AMZN,"Amazon.com, Inc.",57.8,C (Hold),55,65,60,70,70,15,206.96,36.8,341
BDX,"Becton, Dickinson and Company",57.8,C (Hold),50,70,60,55,80,30,171.68,13.8,342
IT,"Gartner, Inc.",57.2,C (Hold),60,65,50,75,65,15,159.89,21.2,343
XYL,Xylem Inc.,57.2,C (Hold),60,70,45,55,85,25,128.92,25.6,344
CCI,Crown Castle Inc.,57.0,C (Hold),60,70,45,40,80,50,84.54,17.7,345
CDNS,"Cadence Design Systems, Inc.",57.0,C (Hold),50,70,45,60,85,40,299.0,27.0,346
EBAY,eBay Inc.,56.5,C (Hold),55,65,45,75,55,40,87.48,8.3,347
TECH,Bio-Techne Corporation,56.5,C (Hold),65,65,45,30,80,58,64.8,16.1,348
RJF,"Raymond James Financial, Inc.",56.0,C (Hold),50,60,45,70,80,40,158.48,16.6,349
DOC,"Healthpeak Properties, Inc.",55.0,C (Hold),50,65,45,45,80,58,17.0,16.9,350
CSGP,"CoStar Group, Inc.",54.2,C (Hold),50,65,50,55,90,15,50.85,57.5,351
WTW,Willis Towers Watson Public Limited Company,54.2,C (Hold),55,65,35,60,85,30,289.77,29.4,352
MRNA,"Moderna, Inc.",54.2,C (Hold),55,50,60,30,50,90,41.99,-7.6,353
PANW,"Palo Alto Networks, Inc.",53.8,C (Hold),60,65,35,55,90,15,165.51,35.7,354
ADSK,"Autodesk, Inc.",53.5,C (Hold),60,70,35,60,70,15,243.58,49.1,355
EL,The Estée Lauder Companies Inc.,53.5,C (Hold),50,65,45,45,75,48,101.31,6.4,356
TSLA,"Tesla, Inc.",49.0,D (Caution),50,55,45,30,70,50,425.21,-1.6,357
