ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
BLK,84.09,1.98,0.81,143.95,10,0,0,Neutral,70,Strong Institutional Support
BMY,82.64,0.08,1.82,2032.48,10,0,0,Neutral,70,Strong Institutional Support
BR,94.16,0.46,2.1,116.17,10,0,0,Neutral,70,Strong Institutional Support
BRK-B,65.98,0.39,0.87,1.24,10,0,0,Neutral,65,Institutional Support
BRO,82.57,13.25,5.15,289.28,10,0,0,Neutral,65,Institutional Support
BSX,95.39,0.19,1.58,1478.38,10,0,0,Neutral,70,Strong Institutional Support
BWA,103.59,1.09,6.24,211.57,10,0,0,Neutral,65,Institutional Support
BX,70.39,0.93,1.26,743.18,10,0,0,Neutral,65,Institutional Support
BXP,114.81,0.41,8.35,147.09,10,0,0,Neutral,65,Institutional Support
C,81.1,0.26,1.44,1741.98,10,0,0,Neutral,70,Strong Institutional Support
CAG,88.89,0.64,8.26,474.96,10,0,0,Neutral,65,Institutional Support
CAH,93.73,0.27,2.47,234.81,10,0,0,Neutral,70,Strong Institutional Support
CARR,88.04,6.15,1.86,783.55,10,0,0,Neutral,70,Strong Institutional Support
CAT,74.01,0.21,1.32,465.12,10,0,0,Neutral,65,Institutional Support
CB,83.28,8.6,0.95,357.89,10,0,0,Neutral,70,Strong Institutional Support
CBOE,90.55,0.22,2.98,104.31,10,0,0,Neutral,70,Strong Institutional Support
CBRE,97.78,0.52,1.07,290.87,10,0,0,Neutral,70,Strong Institutional Support
CCI,99.78,0.12,2.47,434.11,10,0,0,Neutral,70,Strong Institutional Support
CCL,70.48,7.87,3.5,1284.42,10,0,0,Neutral,60,Institutional Support
CDNS,91.66,0.29,1.83,271.11,10,0,0,Neutral,70,Strong Institutional Support
CDW,94.88,0.38,3.5,129.53,10,0,0,Neutral,65,Institutional Support
CE,103.66,0.45,8.4,108.92,10,0,0,Neutral,65,Institutional Support
CEG,93.07,0.35,2.25,292.37,10,0,0,Neutral,70,Strong Institutional Support
CF,105.69,0.74,9.85,154.24,10,0,0,Neutral,65,Institutional Support
CFG,99.21,0.74,5.17,425.13,10,0,0,Neutral,65,Institutional Support
CHD,90.5,0.2,5.03,238.05,10,0,0,Neutral,65,Institutional Support
CHRW,102.1,0.85,8.4,119.43,10,0,0,Neutral,65,Institutional Support
CHTR,88.57,36.22,27.29,81.69,10,0,0,Neutral,55,Institutional Support
CI,92.59,1.61,2.36,270.06,10,0,0,Neutral,70,Strong Institutional Support
CINF,70.63,1.6,1.82,153.24,10,0,0,Neutral,65,Institutional Support
CL,86.26,0.16,2.26,754.37,10,0,0,Neutral,70,Strong Institutional Support
CLX,88.7,0.61,7.02,120.5,10,0,0,Neutral,65,Institutional Support
CMCSA,89.55,0.74,1.76,3560.86,10,0,0,Neutral,70,Strong Institutional Support
CME,91.58,0.43,1.18,358.07,10,0,0,Neutral,70,Strong Institutional Support
CMG,91.69,0.6,2.56,1293.2,10,0,0,Neutral,70,Strong Institutional Support
CMI,87.12,0.32,1.53,137.5,10,0,0,Neutral,70,Strong Institutional Support
CMS,99.58,0.54,4.86,303.63,10,0,0,Neutral,65,Institutional Support
CNC,96.84,0.65,2.85,489.41,10,0,0,Neutral,70,Strong Institutional Support
CNP,100.57,0.44,6.66,649.38,10,0,0,Neutral,65,Institutional Support
COF,89.3,1.85,1.39,612.38,10,0,0,Neutral,70,Strong Institutional Support
COO,108.21,0.62,3.83,194.52,10,0,0,Neutral,65,Institutional Support
COP,84.42,0.07,1.58,1222.57,10,0,0,Neutral,70,Strong Institutional Support
COR,95.92,4.21,2.85,186.16,10,0,0,Neutral,70,Strong Institutional Support
COST,72.16,0.16,1.77,442.64,10,0,0,Neutral,65,Institutional Support
CPAY,95.5,3.56,3.67,66.83,10,0,0,Neutral,65,Institutional Support
CPB,65.77,33.61,19.43,192.21,10,0,0,Neutral,50,Neutral
CPRT,85.61,8.61,4.3,887.71,10,0,0,Neutral,65,Institutional Support
CPT,98.16,1.34,5.12,105.92,10,0,0,Neutral,65,Institutional Support
CRL,107.88,1.02,6.63,48.65,10,0,0,Neutral,65,Institutional Support
CRM,83.88,2.63,1.99,911.64,10,0,0,Neutral,70,Strong Institutional Support
CSCO,81.57,0.06,1.46,3944.1,10,0,0,Neutral,70,Strong Institutional Support
CSGP,104.1,1.18,4.03,418.25,10,0,0,Neutral,65,Institutional Support
CSX,80.43,0.25,1.89,1859.82,10,0,0,Neutral,70,Strong Institutional Support
CTAS,68.05,14.98,2.16,341.88,10,0,0,Neutral,65,Institutional Support
CTLT,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
CTRA,96.51,1.44,4.67,750.73,10,0,0,Neutral,65,Institutional Support
CTSH,106.33,0.1,6.33,478.0,10,0,0,Neutral,65,Institutional Support
CTVA,87.41,0.12,2.11,670.55,10,0,0,Neutral,70,Strong Institutional Support
CVS,90.24,1.06,1.49,1266.92,10,0,0,Neutral,70,Strong Institutional Support
CVX,68.9,6.24,1.05,1846.77,10,0,0,Neutral,65,Institutional Support
CZR,107.76,2.16,19.88,193.2,10,0,0,Neutral,55,Institutional Support
D,84.23,0.12,3.65,852.14,10,0,0,Neutral,65,Institutional Support
DAL,83.65,0.58,3.43,643.94,10,0,0,Neutral,65,Institutional Support
DAY,77.96,1.19,15.26,156.93,10,0,0,Neutral,50,Neutral
DD,77.4,0.29,2.02,417.3,10,0,0,Neutral,65,Institutional Support
DE,82.72,0.16,2.1,269.91,10,0,0,Neutral,70,Strong Institutional Support
DECK,100.98,0.6,3.49,140.67,10,0,0,Neutral,65,Institutional Support
DFS,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
DG,100.0,0.34,4.25,218.79,10,0,0,Neutral,65,Institutional Support
DGX,100.48,0.39,5.87,110.67,10,0,0,Neutral,65,Institutional Support
DHI,89.84,11.32,6.7,257.21,10,0,0,Neutral,65,Institutional Support
DHR,83.5,11.05,1.22,629.52,10,0,0,Neutral,70,Strong Institutional Support
DIS,75.99,0.07,1.33,1768.83,10,0,0,Neutral,65,Institutional Support
DLR,101.09,0.02,3.64,321.32,10,0,0,Neutral,65,Institutional Support
DLTR,115.73,0.15,9.49,175.05,10,0,0,Neutral,65,Institutional Support
